"VERSION","VOTEMETHOD","SENAZ22","GOVAZ22","SOSAZ22","FTVOTER18","BIDENPRES4","ISSUE22","BIDENPOL22","FAVTRUMP","FORCANDSEN","IMMBETTER","NEC","OVERTURNROE","VOTE2020","QUALSEN22","FAIRELECTION","ABORTION","INFLATION22","LEGIT2020","PTYIMPT14","FORBIDEN22","FORTRUMP22","AGE10","SEX","EDUC18","QRACEAI","LATINOS","PARTYID","PHIL3","MARRIED","WEIGHT","state","SENGA22","GOVGA22","SOSGA22","TIME22SEN","GOODJUDGEGA","LATINO","BRNAGAIN","GOVMI22","SOSMI22","PROP3MI22","HANDLEELECTIONMI","TIME22GOV","BIDENRUN24","WHITMER4","HANDLECRIMEMI","UNIONHH12","SURVEY","SURVEYMODE","SENNC22","RACISM20","BORNINNC22","VETVOTER","GUNOWNER12","SENNH22","GOVNH22","SUNUNU4","TRUMPRUN24","SENNV22","GOVNV22","SOSNV22","SENOH22","GOVOH22","DEWINE4","SENPA22","GOVPA22","HANDLEELECTIONPA","FETTERMANHEALTH","OZRESIDENT","GOVTX22","HANDLEBORDERTX","HANDLEGUNTX","GUN16","ABBOTT4","ABBOTTRUN24","MIGRANTTX","BORNINTX22","SENWI22","GOVWI22","EVERS4","HANDLECRIMEWI","vote.mode"
1,2,1,1,1,2,1,2,1,2,1,1,2,4,1,4,1,2,2,1,1,1,2,8,1,5,1,1,1,1,1,0.62463412902,"AZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mail"
1,2,1,1,1,2,1,2,1,2,1,1,3,4,1,4,1,2,3,1,1,1,2,9,1,3,1,2,1,1,1,0.64303079903,"AZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mail"
1,2,2,2,2,2,4,5,2,1,1,2,4,1,3,3,NA,3,1,1,1,2,1,7,1,3,2,2,2,3,1,2.70278480041,"AZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mail"
1,1,2,2,2,2,4,3,2,1,1,1,4,2,2,1,2,3,2,2,1,2,3,7,1,2,1,2,3,3,2,0.76742560239,"AZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Election Day"
1,2,2,2,2,2,4,2,2,NA,1,2,4,1,2,4,1,4,2,1,1,2,3,10,1,4,1,2,2,3,1,0.50283241214,"AZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mail"
1,2,1,1,1,2,1,2,1,2,NA,1,2,4,1,3,1,1,2,1,1,1,3,9,2,5,1,2,1,2,1,0.43195263418,"AZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mail"
1,2,1,1,1,2,2,NA,3,2,1,1,3,4,1,4,1,2,3,1,1,1,2,7,1,5,2,2,3,2,1,0.65398757394,"AZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mail"
1,2,2,2,1,2,4,1,2,1,2,2,4,2,2,1,3,3,2,1,4,2,3,9,1,NA,NA,NA,3,3,2,0.37249561851,"AZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mail"
1,2,3,1,NA,2,4,NA,2,NA,2,2,4,NA,2,3,2,NA,2,1,4,2,2,10,1,2,1,2,3,3,1,0.92086679441,"AZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mail"
1,2,1,1,1,2,1,2,1,2,1,1,2,4,1,4,1,1,3,1,1,1,3,10,2,2,1,2,1,1,1,0.92986811819,"AZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mail"
1,2,1,1,1,2,2,NA,1,2,2,1,2,4,1,4,1,2,2,1,1,3,2,9,1,2,1,1,4,1,1,0.73309371462,"AZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mail"
1,2,1,1,1,2,2,2,1,2,1,1,3,4,1,3,1,2,3,1,2,3,3,9,1,4,1,2,3,1,1,3.14744676138,"AZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mail"
1,2,1,1,NA,1,2,2,1,2,2,1,3,2,1,3,1,2,2,1,2,3,3,1,1,2,1,2,3,1,2,1.41295522497,"AZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mail"
1,1,2,2,2,2,4,5,2,1,1,NA,4,2,2,4,4,3,1,2,2,3,3,7,2,2,NA,NA,4,3,2,0.35719352469,"AZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Election Day"
1,2,2,2,2,2,4,3,2,1,2,2,4,2,2,4,2,4,1,2,1,2,NA,10,2,1,1,2,2,3,1,1.13900231637,"AZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mail"
1,2,1,1,1,2,1,2,1,2,1,1,3,3,1,3,NA,1,3,1,1,1,2,10,2,1,1,2,1,1,2,0.92986811819,"AZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mail"
1,2,1,1,1,2,1,2,1,2,1,1,2,4,1,3,1,2,2,1,1,3,2,8,2,3,1,2,3,2,1,0.73093107222,"AZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mail"
1,2,1,1,1,2,1,2,1,2,1,2,2,2,1,3,1,2,2,1,2,1,3,10,2,1,1,2,1,3,2,1.13508508941,"AZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mail"
1,2,1,1,1,2,1,2,1,2,1,1,2,4,1,3,1,2,3,1,1,3,2,7,2,5,3,1,1,2,1,0.80890457352,"AZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mail"
1,2,3,2,1,2,4,5,2,2,2,2,4,2,2,4,1,2,2,1,1,2,3,10,1,5,1,2,2,3,1,0.61858753604,"AZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mail"
1,1,2,2,2,2,4,3,2,1,2,2,4,2,2,3,2,3,1,2,1,2,3,8,2,4,1,2,3,2,2,0.98253423793,"AZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Election Day"
1,2,1,1,1,2,2,3,1,2,1,1,3,3,1,4,1,2,2,1,1,1,3,10,2,1,1,2,1,1,2,0.90447171728,"AZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mail"
1,2,1,1,1,2,1,2,1,2,2,1,2,4,1,3,1,1,3,1,1,1,2,9,2,4,6,2,1,1,2,0.59447882719,"AZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mail"
1,2,2,2,2,2,4,3,2,2,1,2,4,2,2,4,1,NA,2,1,1,2,3,10,2,3,1,2,2,3,1,1.33163866258,"AZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mail"
1,2,1,1,1,2,1,2,1,2,1,1,2,4,1,3,1,1,3,1,1,3,3,9,1,5,1,2,1,1,1,0.50500760166,"AZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mail"
1,2,1,1,1,2,1,2,1,2,1,1,3,4,1,4,1,2,2,1,1,1,2,9,2,5,1,2,1,1,1,0.43195263418,"AZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mail"
1,2,1,1,1,2,2,2,1,2,1,1,2,4,1,3,1,1,3,1,1,3,2,9,1,5,1,2,4,1,1,0.76126886627,"AZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mail"
1,2,2,2,2,2,4,3,2,1,2,2,4,2,2,3,2,3,1,2,1,2,3,10,2,5,1,2,3,3,2,0.76318595246,"AZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mail"
1,2,1,1,1,2,2,2,1,2,1,1,2,4,1,4,1,1,3,1,1,1,2,10,1,2,1,2,1,1,2,0.73309371462,"AZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mail"
1,2,1,1,1,2,1,3,1,2,1,1,3,3,1,3,2,1,2,1,1,1,2,10,2,4,1,2,1,2,2,0.71615435849,"AZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mail"
1,2,2,2,2,2,4,5,2,1,1,1,3,2,2,3,1,2,3,2,1,2,1,9,2,2,5,2,2,2,1,1.65630857594,"AZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mail"
1,2,2,2,2,2,4,3,2,2,2,2,3,2,2,2,2,2,2,1,1,2,3,7,1,2,1,2,3,2,2,1.21131240394,"AZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mail"
1,2,1,1,1,2,3,2,3,2,2,1,3,3,1,3,1,2,3,1,1,1,2,6,1,4,1,2,3,2,1,1.13499975311,"AZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mail"
1,2,2,2,2,2,4,5,2,1,1,2,4,3,1,1,3,2,2,2,1,2,3,10,1,2,1,2,2,3,1,0.92086679441,"AZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mail"
1,2,2,2,1,2,4,5,2,1,2,2,4,3,2,4,2,2,2,2,1,2,3,10,1,5,1,2,3,3,2,0.54419746634,"AZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mail"
1,2,1,1,1,2,2,3,3,2,2,1,3,3,1,3,1,3,2,1,1,3,2,9,1,4,NA,2,3,2,1,0.36268284868,"AZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mail"
1,2,1,1,1,2,4,5,2,2,2,2,3,2,1,3,1,3,2,1,3,3,2,9,2,5,1,2,2,3,1,0.76738274753,"AZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mail"
1,2,1,1,1,2,1,2,1,2,1,1,2,4,1,4,1,1,2,1,1,3,2,9,2,2,1,2,4,1,1,0.79535235068,"AZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mail"
1,2,1,1,1,2,4,5,2,2,2,NA,3,3,4,3,1,2,2,1,2,3,2,7,2,4,1,2,3,3,2,0.89291145808,"AZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mail"
1,2,1,1,1,2,2,2,1,2,1,1,3,4,1,3,2,2,2,1,2,3,2,6,2,4,1,2,3,1,1,1.20269768467,"AZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mail"
1,2,1,1,2,2,1,2,1,2,1,1,2,4,1,3,3,1,3,1,1,1,2,9,2,2,1,2,3,2,1,0.79535235068,"AZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mail"
1,2,1,1,1,2,1,2,1,2,1,1,3,3,1,4,1,2,3,1,1,3,3,9,2,2,1,2,3,2,1,0.73093107222,"AZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mail"
1,1,2,2,2,2,4,5,2,1,2,2,4,1,2,4,3,3,2,2,1,2,3,9,1,5,1,2,2,3,1,0.59345545796,"AZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Election Day"
1,2,2,2,2,2,4,5,3,1,1,2,4,3,2,4,3,3,2,2,1,2,NA,10,2,3,1,2,2,3,1,1.13900231637,"AZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mail"
1,2,1,1,1,2,2,2,1,2,2,1,2,3,1,3,1,2,2,1,1,3,2,10,1,4,1,2,1,2,1,0.53427385359,"AZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mail"
